context_length,store_id,mode,wql,mae,rmse,p10_under,p90_over
512,877,covariate,0.03705672023789421,372.78596633333325,448.5201292495564,0.06666666666666667,0.23333333333333334
512,878,covariate,0.03127998654442142,323.407456,463.8101496509656,0.0,0.03333333333333333
512,880,covariate,0.04798491353581195,547.9371744666665,657.9394843561414,0.1,0.36666666666666664
512,881,covariate,0.06443475387330913,309.12738999999993,494.67979581380456,0.0,0.2
512,882,covariate,0.04915393502559911,399.4255996666665,506.3027467568869,0.0,0.36666666666666664
512,883,covariate,0.04121425807662934,233.40302366666666,317.3923497035575,0.0,0.2
512,885,covariate,0.03141758146524083,240.49330306666656,294.5899162119214,0.06666666666666667,0.06666666666666667
512,886,covariate,0.03981477248905473,341.821753,449.9788772720475,0.06666666666666667,0.2
512,887,covariate,0.04117538687185132,408.23009066666674,492.38850197258137,0.0,0.2
512,888,covariate,0.04063979633965202,542.5133503333333,630.2013460516308,0.13333333333333333,0.16666666666666666
512,889,covariate,0.04263032594709366,249.98553500000006,312.6175231853872,0.03333333333333333,0.16666666666666666
512,891,covariate,0.05740437811507109,522.4950473333334,723.4225697347448,0.06666666666666667,0.3
512,892,covariate,0.03308889311249208,324.6189500000001,417.70819005927353,0.0,0.13333333333333333
512,894,covariate,0.03892651379115234,441.543253,552.2744209568282,0.0,0.13333333333333333
512,895,covariate,0.03154361482659019,470.7953026666666,580.553700983854,0.1,0.2
512,896,covariate,0.03228060670651442,336.50978899999996,415.1187602949853,0.13333333333333333,0.13333333333333333
512,897,covariate,0.04114318906739415,180.23511356666666,247.3722497697875,0.06666666666666667,0.13333333333333333
512,898,covariate,0.05553044037463567,484.77241146666677,633.3972952369987,0.0,0.3
512,899,covariate,0.052030094695688006,353.1478196666667,423.75940284984557,0.06666666666666667,0.2
512,901,covariate,0.03658928985357655,331.0698862,434.3843559271201,0.03333333333333333,0.16666666666666666
512,905,covariate,0.03317802514149446,291.0048373333332,369.81553847088543,0.1,0.03333333333333333
512,906,covariate,0.040381358660089545,618.4553383333334,773.650007167312,0.0,0.16666666666666666
512,907,covariate,0.03400911727140651,324.07642519999996,386.33838950152693,0.23333333333333334,0.03333333333333333
512,908,covariate,0.04694761148544929,248.18610476666663,320.3568140052521,0.13333333333333333,0.1
512,910,covariate,0.04392004920437848,370.83297984333336,458.15637265401546,0.0,0.26666666666666666
512,911,covariate,0.035003653228160035,505.48011,607.8577146757184,0.06666666666666667,0.13333333333333333
512,912,covariate,0.05272331973520073,397.6554796666667,504.0935157325889,0.1,0.26666666666666666
512,913,covariate,0.032999072670544694,412.83916533333326,496.0196253899417,0.0,0.06666666666666667
512,914,covariate,0.0351439110488233,450.2671553333334,576.9272969780624,0.0,0.2
512,916,covariate,0.06664459988078276,434.3810596666665,677.9536808623808,0.13333333333333333,0.13333333333333333
512,917,covariate,0.03919370412853392,331.6022590000001,431.4010773026434,0.03333333333333333,0.1
